Url,PathIdentifier,PropertyId,Price,Unit,Street,City,State,Postcode,SoldDate,Bed,Bath,Parking,Type
www.realestate.com.au/sold/property-house-sa-marleston-143232792,/sold/property-house-sa-marleston-143232792,143232792,1171000,13,Ritchie Terrace,Marleston,SA,5033,21-Oct-23,3,1,0,House
www.realestate.com.au/sold/property-house-sa-richmond-143187876,/sold/property-house-sa-richmond-143187876,143187876,730000,73,Brooker Terrace,Richmond,SA,5033,18-Oct-23,4,1,3,House
www.realestate.com.au/sold/property-house-sa-marleston-143164860,/sold/property-house-sa-marleston-143164860,143164860,845000,17,Sutton Terrace,Marleston,SA,5033,17-Oct-23,3,1,7,House
www.realestate.com.au/sold/property-house-sa-richmond-143200936,/sold/property-house-sa-richmond-143200936,143200936,970000,13,Kitson Avenue,Richmond,SA,5033,15-Oct-23,4,1,4,House
www.realestate.com.au/sold/property-house-sa-richmond-143120672,/sold/property-house-sa-richmond-143120672,143120672,942000,8,Crawford Court,Richmond,SA,5033,7-Oct-23,3,2,2,House
www.realestate.com.au/sold/property-house-sa-marleston-143133772,/sold/property-house-sa-marleston-143133772,143133772,710000,60,Barnes Avenue,Marleston,SA,5033,7-Oct-23,3,1,2,House
www.realestate.com.au/sold/property-house-sa-richmond-143005016,/sold/property-house-sa-richmond-143005016,143005016,850000,3A,Hill Place,Richmond,SA,5033,6-Oct-23,3,2,3,House
www.realestate.com.au/sold/property-house-sa-marleston-143130612,/sold/property-house-sa-marleston-143130612,143130612,900000,66,Sutton Terrace,Marleston,SA,5033,3-Oct-23,3,2,2,House
www.realestate.com.au/sold/property-house-sa-richmond-143085368,/sold/property-house-sa-richmond-143085368,143085368,676000,22,Bickford Street,Richmond,SA,5033,30-Sep-23,2,1,2,House
www.realestate.com.au/sold/property-house-sa-hilton-143028472,/sold/property-house-sa-hilton-143028472,143028472,935000,67,Davenport Terrace,Hilton,SA,5033,27-Sep-23,4,2,2,House
www.realestate.com.au/sold/property-house-sa-richmond-143019752,/sold/property-house-sa-richmond-143019752,143019752,924000,2,Haynes Avenue,Richmond,SA,5033,23-Sep-23,3,1,5,House
www.realestate.com.au/sold/property-unit-sa-marleston-143084232,/sold/property-unit-sa-marleston-143084232,143084232,400000,Apr-58,Sutton Terrace,Marleston,SA,5033,18-Sep-23,2,1,1,Unit
www.realestate.com.au/sold/property-unit-sa-marleston-142969552,/sold/property-unit-sa-marleston-142969552,142969552,373000,13-Feb,Bakers Road,Marleston,SA,5033,18-Sep-23,2,1,1,Unit
www.realestate.com.au/sold/property-house-sa-cowandilla-142737804,/sold/property-house-sa-cowandilla-142737804,142737804,740000,3A,Poynton Street,Cowandilla,SA,5033,15-Sep-23,3,3,1,House
www.realestate.com.au/sold/property-unit-sa-marleston-142900040,/sold/property-unit-sa-marleston-142900040,142900040,545000,26-May,Cudmore Terrace,Marleston,SA,5033,13-Sep-23,2,1,1,Unit
www.realestate.com.au/sold/property-house-sa-hilton-142904560,/sold/property-house-sa-hilton-142904560,142904560,880000,26,Milner Road,Hilton,SA,5033,12-Sep-23,3,1,4,House
www.realestate.com.au/sold/property-house-sa-richmond-142400932,/sold/property-house-sa-richmond-142400932,142400932,820000,5,Margaret Street,Richmond,SA,5033,9-Sep-23,3,1,5,House
www.realestate.com.au/sold/property-unit-sa-marleston-142871560,/sold/property-unit-sa-marleston-142871560,142871560,505000,Jan-65,Argyle Avenue,Marleston,SA,5033,9-Sep-23,3,1,1,Unit
www.realestate.com.au/sold/property-house-sa-marleston-142693848,/sold/property-house-sa-marleston-142693848,142693848,970000,41C,Barwell Avenue,Marleston,SA,5033,7-Sep-23,3,2,2,House
www.realestate.com.au/sold/property-townhouse-sa-richmond-142903252,/sold/property-townhouse-sa-richmond-142903252,142903252,742500,Jan-75,Brooker Terrace,Richmond,SA,5033,6-Sep-23,3,2,3,Townhouse
www.realestate.com.au/sold/property-house-sa-richmond-142657024,/sold/property-house-sa-richmond-142657024,142657024,715000,26,Lucas Street,Richmond,SA,5033,29-Aug-23,3,2,2,House
www.realestate.com.au/sold/property-townhouse-sa-marleston-142798460,/sold/property-townhouse-sa-marleston-142798460,142798460,858000,5A,Allington Avenue,Marleston,SA,5033,26-Aug-23,3,2,2,Townhouse
www.realestate.com.au/sold/property-unit-sa-marleston-142747504,/sold/property-unit-sa-marleston-142747504,142747504,410000,6-Feb,Barnes Avenue,Marleston,SA,5033,22-Aug-23,2,1,1,Unit
www.realestate.com.au/sold/property-house-sa-west+richmond-142714512,/sold/property-house-sa-west+richmond-142714512,142714512,775000,2A,Trennery Street,West Richmond,SA,5033,21-Aug-23,3,1,4,House
www.realestate.com.au/sold/property-house-sa-marleston-142374456,/sold/property-house-sa-marleston-142374456,142374456,735000,25,Sarah Street,Marleston,SA,5033,31-Jul-23,3,2,1,House
www.realestate.com.au/sold/property-house-sa-cowandilla-142584420,/sold/property-house-sa-cowandilla-142584420,142584420,632000,3/40A,Jenkins Street,Cowandilla,SA,5033,28-Jul-23,3,1,2,House
www.realestate.com.au/sold/property-house-sa-marleston-142558640,/sold/property-house-sa-marleston-142558640,142558640,680000,9A,Barnes Avenue,Marleston,SA,5033,24-Jul-23,3,2,2,House
www.realestate.com.au/sold/property-house-sa-marleston-142517492,/sold/property-house-sa-marleston-142517492,142517492,840000,11,Sarah Street,Marleston,SA,5033,22-Jul-23,3,1,1,House
www.realestate.com.au/sold/property-residential+land-sa-cowandilla-203351747,/sold/property-residential+land-sa-cowandilla-203351747,203351747,425000,3B,Neill Road,Cowandilla,SA,5033,30-Jun-23,0,0,0,Residential land
www.realestate.com.au/sold/property-house-sa-cowandilla-142411036,/sold/property-house-sa-cowandilla-142411036,142411036,890000,12a,Spencer Street,Cowandilla,SA,5033,28-Jun-23,4,2,4,House
www.realestate.com.au/sold/property-house-sa-marleston-142292672,/sold/property-house-sa-marleston-142292672,142292672,830000,29,Anstey Crescent,Marleston,SA,5033,26-Jun-23,3,1,2,House
www.realestate.com.au/sold/property-house-sa-richmond-142359908,/sold/property-house-sa-richmond-142359908,142359908,1140000,6,Apollo Circuit,Richmond,SA,5033,21-Jun-23,4,3,4,House
www.realestate.com.au/sold/property-house-sa-marleston-142242928,/sold/property-house-sa-marleston-142242928,142242928,755500,9,St Anton Street,Marleston,SA,5033,10-Jun-23,3,2,1,House
www.realestate.com.au/sold/property-unit-sa-richmond-142153204,/sold/property-unit-sa-richmond-142153204,142153204,347500,Nov-67,Milner Road,Richmond,SA,5033,4-Jun-23,2,1,1,Unit
www.realestate.com.au/sold/property-house-sa-richmond-142131636,/sold/property-house-sa-richmond-142131636,142131636,766000,22A,Bickford Street,Richmond,SA,5033,27-May-23,3,1,4,House
www.realestate.com.au/sold/property-unit-sa-richmond-142131880,/sold/property-unit-sa-richmond-142131880,142131880,535000,29-Jan,Lucas Street,Richmond,SA,5033,24-May-23,2,1,2,Unit
www.realestate.com.au/sold/property-house-sa-richmond-142034432,/sold/property-house-sa-richmond-142034432,142034432,829000,41,Lucas Street,Richmond,SA,5033,23-May-23,2,1,2,House
www.realestate.com.au/sold/property-house-sa-cowandilla-142070012,/sold/property-house-sa-cowandilla-142070012,142070012,665000,31,Turner Street,Cowandilla,SA,5033,22-May-23,2,1,4,House
www.realestate.com.au/sold/property-house-sa-west+richmond-141636104,/sold/property-house-sa-west+richmond-141636104,141636104,470000,7,Morley Street,West Richmond,SA,5033,17-May-23,2,1,1,House
www.realestate.com.au/sold/property-house-sa-marleston-142005452,/sold/property-house-sa-marleston-142005452,142005452,665000,13D,Allington Avenue,Marleston,SA,5033,15-May-23,3,2,1,House
www.realestate.com.au/sold/property-house-sa-cowandilla-141903616,/sold/property-house-sa-cowandilla-141903616,141903616,805000,32,Turner Street,Cowandilla,SA,5033,12-May-23,3,2,1,House
www.realestate.com.au/sold/property-house-sa-richmond-142053916,/sold/property-house-sa-richmond-142053916,142053916,1100000,20B,Chambers Avenue,Richmond,SA,5033,11-May-23,4,3,4,House
www.realestate.com.au/sold/property-house-sa-richmond-141980968,/sold/property-house-sa-richmond-141980968,141980968,1260000,14,Shaw Avenue,Richmond,SA,5033,10-May-23,6,4,4,House
